STATION,NAME,DATE,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL
USW00094728,"NY CITY CENTRAL PARK, NY US",1-Jan,38.9,27.9
USW00094728,"NY CITY CENTRAL PARK, NY US",2-Jan,38.8,27.7
USW00094728,"NY CITY CENTRAL PARK, NY US",3-Jan,38.7,27.6
USW00094728,"NY CITY CENTRAL PARK, NY US",4-Jan,38.5,27.4
USW00094728,"NY CITY CENTRAL PARK, NY US",5-Jan,38.4,27.3
USW00094728,"NY CITY CENTRAL PARK, NY US",6-Jan,38.3,27.2
USW00094728,"NY CITY CENTRAL PARK, NY US",7-Jan,38.2,27.1
USW00094728,"NY CITY CENTRAL PARK, NY US",8-Jan,38.2,27
USW00094728,"NY CITY CENTRAL PARK, NY US",9-Jan,38.1,26.9
USW00094728,"NY CITY CENTRAL PARK, NY US",10-Jan,38,26.8
USW00094728,"NY CITY CENTRAL PARK, NY US",11-Jan,38,26.8
USW00094728,"NY CITY CENTRAL PARK, NY US",12-Jan,38,26.7
USW00094728,"NY CITY CENTRAL PARK, NY US",13-Jan,37.9,26.7
USW00094728,"NY CITY CENTRAL PARK, NY US",14-Jan,37.9,26.6
USW00094728,"NY CITY CENTRAL PARK, NY US",15-Jan,37.9,26.6
USW00094728,"NY CITY CENTRAL PARK, NY US",16-Jan,37.9,26.6
USW00094728,"NY CITY CENTRAL PARK, NY US",17-Jan,37.9,26.6
USW00094728,"NY CITY CENTRAL PARK, NY US",18-Jan,38,26.5
USW00094728,"NY CITY CENTRAL PARK, NY US",19-Jan,38,26.6
USW00094728,"NY CITY CENTRAL PARK, NY US",20-Jan,38,26.6
USW00094728,"NY CITY CENTRAL PARK, NY US",21-Jan,38.1,26.6
USW00094728,"NY CITY CENTRAL PARK, NY US",22-Jan,38.2,26.6
USW00094728,"NY CITY CENTRAL PARK, NY US",23-Jan,38.2,26.6
USW00094728,"NY CITY CENTRAL PARK, NY US",24-Jan,38.3,26.7
USW00094728,"NY CITY CENTRAL PARK, NY US",25-Jan,38.4,26.7
USW00094728,"NY CITY CENTRAL PARK, NY US",26-Jan,38.5,26.8
USW00094728,"NY CITY CENTRAL PARK, NY US",27-Jan,38.6,26.8
USW00094728,"NY CITY CENTRAL PARK, NY US",28-Jan,38.7,26.9
USW00094728,"NY CITY CENTRAL PARK, NY US",29-Jan,38.8,27
USW00094728,"NY CITY CENTRAL PARK, NY US",30-Jan,38.9,27
USW00094728,"NY CITY CENTRAL PARK, NY US",31-Jan,39,27.1
USW00094728,"NY CITY CENTRAL PARK, NY US",1-Feb,39.1,27.2
USW00094728,"NY CITY CENTRAL PARK, NY US",2-Feb,39.3,27.3
USW00094728,"NY CITY CENTRAL PARK, NY US",3-Feb,39.4,27.4
USW00094728,"NY CITY CENTRAL PARK, NY US",4-Feb,39.6,27.5
USW00094728,"NY CITY CENTRAL PARK, NY US",5-Feb,39.7,27.6
USW00094728,"NY CITY CENTRAL PARK, NY US",6-Feb,39.9,27.7
USW00094728,"NY CITY CENTRAL PARK, NY US",7-Feb,40,27.8
USW00094728,"NY CITY CENTRAL PARK, NY US",8-Feb,40.2,27.9
USW00094728,"NY CITY CENTRAL PARK, NY US",9-Feb,40.4,28
USW00094728,"NY CITY CENTRAL PARK, NY US",10-Feb,40.6,28.2
USW00094728,"NY CITY CENTRAL PARK, NY US",11-Feb,40.8,28.3
USW00094728,"NY CITY CENTRAL PARK, NY US",12-Feb,41,28.4
USW00094728,"NY CITY CENTRAL PARK, NY US",13-Feb,41.1,28.6
USW00094728,"NY CITY CENTRAL PARK, NY US",14-Feb,41.3,28.7
USW00094728,"NY CITY CENTRAL PARK, NY US",15-Feb,41.6,28.8
USW00094728,"NY CITY CENTRAL PARK, NY US",16-Feb,41.8,29
USW00094728,"NY CITY CENTRAL PARK, NY US",17-Feb,42,29.1
USW00094728,"NY CITY CENTRAL PARK, NY US",18-Feb,42.2,29.3
USW00094728,"NY CITY CENTRAL PARK, NY US",19-Feb,42.4,29.5
USW00094728,"NY CITY CENTRAL PARK, NY US",20-Feb,42.6,29.6
USW00094728,"NY CITY CENTRAL PARK, NY US",21-Feb,42.9,29.8
USW00094728,"NY CITY CENTRAL PARK, NY US",22-Feb,43.1,30
USW00094728,"NY CITY CENTRAL PARK, NY US",23-Feb,43.3,30.1
USW00094728,"NY CITY CENTRAL PARK, NY US",24-Feb,43.6,30.3
USW00094728,"NY CITY CENTRAL PARK, NY US",25-Feb,43.8,30.5
USW00094728,"NY CITY CENTRAL PARK, NY US",26-Feb,44.1,30.7
USW00094728,"NY CITY CENTRAL PARK, NY US",27-Feb,44.4,30.9
USW00094728,"NY CITY CENTRAL PARK, NY US",28-Feb,44.6,31.1
USW00094728,"NY CITY CENTRAL PARK, NY US",1-Mar,44.9,31.3
USW00094728,"NY CITY CENTRAL PARK, NY US",2-Mar,45.2,31.5
USW00094728,"NY CITY CENTRAL PARK, NY US",3-Mar,45.4,31.7
USW00094728,"NY CITY CENTRAL PARK, NY US",4-Mar,45.7,31.9
USW00094728,"NY CITY CENTRAL PARK, NY US",5-Mar,46,32.2
USW00094728,"NY CITY CENTRAL PARK, NY US",6-Mar,46.3,32.4
USW00094728,"NY CITY CENTRAL PARK, NY US",7-Mar,46.6,32.6
USW00094728,"NY CITY CENTRAL PARK, NY US",8-Mar,46.9,32.9
USW00094728,"NY CITY CENTRAL PARK, NY US",9-Mar,47.2,33.1
